portfolio_id,as_of_date,ticker,name,quantity,market_value_local,trading_currency,base_currency,fx_rate_to_base,market_value_base,instrument_type,issuer_name,issuer_canonical_id,underlying_issuer_name,underlying_ticker,listing_country,country_of_risk,region,sector,industry,themes,leverage_factor,notes
sample_phase3c,2026-06-08,TQQQ,ProShares UltraPro QQQ,250,25000,USD,USD,,25000,leveraged_etf,ProShares,PROSHARES,,,United States,United States,North America,Diversified,Leveraged ETF,leveraged ETF;mega-cap tech,3.0,Fake static sample value.
sample_phase3c,2026-06-08,SOXL,Direxion Daily Semiconductor Bull 3X Shares,400,18000,USD,USD,,18000,leveraged_etf,Direxion,DIREXION,,,United States,United States,North America,Information Technology,Leveraged semiconductor ETF,leveraged ETF;semiconductor;AI infrastructure,3.0,Fake static sample value.
sample_phase3c,2026-06-08,7709.HK,SK Hynix proxy / Hong Kong listing,1000,80000,HKD,USD,,,stock,SK Hynix,SK_HYNIX,SK Hynix,000660.KS,Hong Kong,South Korea,Asia,Information Technology,Semiconductors,HBM;semiconductor;AI infrastructure,1.0,Fake static sample value.
sample_phase3c,2026-06-08,TSLA,Tesla,50,12000,USD,USD,,12000,stock,Tesla,TESLA,,,United States,United States,North America,Consumer Discretionary,Auto Manufacturers,EV / autonomy;mega-cap tech,1.0,Fake static sample value.
sample_phase3c,2026-06-08,HY9H,SK Hynix GDS-like holding,60,9000,EUR,USD,,,gds,SK Hynix,SK_HYNIX,SK Hynix,000660.KS,Germany,South Korea,Asia,Information Technology,Semiconductors,HBM;semiconductor;AI infrastructure,1.0,Fake static sample value.
sample_phase3c,2026-06-08,GOOGL,Alphabet,75,14000,USD,USD,,14000,stock,Alphabet,ALPHABET,,,United States,United States,North America,Communication Services,Internet Content and Information,cloud AI;mega-cap tech,1.0,Fake static sample value.
sample_phase3c,2026-06-08,MSFT,Microsoft,35,16000,USD,USD,,16000,stock,Microsoft,MICROSOFT,,,United States,United States,North America,Information Technology,Software,cloud AI;mega-cap tech;AI infrastructure,1.0,Fake static sample value.
sample_phase3c,2026-06-08,ETHA,iShares Ethereum Trust ETF,250,8000,USD,USD,,8000,crypto_etf,iShares,ISHARES,Ethereum,ETH,United States,Global,Global,Digital Assets,Crypto asset ETF,crypto beta,1.0,Fake static sample value.
sample_phase3c,2026-06-08,NVDA,NVIDIA,150,20000,USD,USD,,20000,stock,NVIDIA,NVIDIA,,,United States,United States,North America,Information Technology,Semiconductors,AI infrastructure;semiconductor,1.0,Fake static sample value.
sample_phase3c,2026-06-08,SMS,Samsung Electronics GDS-like holding,10,10000,USD,USD,,10000,gds,Samsung Electronics,SAMSUNG_ELECTRONICS,Samsung Electronics,005930.KS,United Kingdom,South Korea,Asia,Information Technology,Semiconductors,HBM;semiconductor;AI infrastructure,1.0,Fake static sample value.
